No.,屋苑,座,樓,室,已售,成功聯絡,Remark
1,星凱堤岸,5,15,H,,N,
2,星凱堤岸,5,16,J,N,Y,"繼續賣, 但租約到26年12月尾"
3,星凱堤岸,3,8,J,,N,
4,星凱堤岸,5,17,H,N,Y,
5,星凱堤岸,3,9,B,,N,
6,星凱堤岸,2,38,B,,N,
7,星凱堤岸,2,15,D,N,Y,暫時唔賣
8,星凱堤岸,5,41,J,N,Y,
9,星凱堤岸,1,35,G,,N,
10,星凱堤岸,1,22,H,,N,
11,星凱堤岸,5,6,A,N,Y,可減幾萬至10幾萬
12,星凱堤岸,3,28,J,N,Y,
13,星凱堤岸,1,42,H,,N,
14,星凱堤岸,1,33,H,,N,
15,星凱堤岸,3,7,A,,N,
16,星凱堤岸,1,39,G,,N,
17,星凱堤岸,3,41,J,N,Y,"剛放租, 暫時唔賣"
18,星凱堤岸,5,49,H,N,Y,
19,星凱堤岸,1,41,E,,N,
20,星凱堤岸,1,9,G,N,Y,可減50萬
21,星凱堤岸,3,47,A,,N,
22,星凱堤岸,5,5,D,N,Y,可少量減20萬
23,星凱堤岸,2,42,G,N,Y,
24,星凱堤岸,3,17,A,,N,
25,星凱堤岸,1,31,H,N,Y,唔賣
26,星凱堤岸,3,49,D,N,Y,
27,星凱堤岸,1,16,A,,N,
28,星凱堤岸,3,22,H,N,Y,
29,星凱堤岸,3,21,H,,N,
30,星凱堤岸,5,10,C,,N,
31,星凱堤岸,2,27,C,N,Y,
32,星凱堤岸,5,11,C,,N,
